method,data_fraction,seed,emotion,f1,precision,recall
setfit,0.1,42,optimism,0.5780346820809249,0.625,0.5376344086021505
setfit,0.1,42,pride,0.0,0.0,0.0
setfit,0.1,42,realization,0.0891089108910891,0.15789473684210525,0.06206896551724138
setfit,0.1,42,relief,0.0,0.0,0.0
setfit,0.1,42,remorse,0.5504587155963303,0.5660377358490566,0.5357142857142857
setfit,0.1,42,sadness,0.46387832699619774,0.5700934579439252,0.391025641025641
setfit,0.1,42,surprise,0.4489795918367347,0.5288461538461539,0.3900709219858156
setfit,0.25,42,admiration,0.6875612144955926,0.6789168278529981,0.6964285714285714
setfit,0.25,42,amusement,0.7972270363951474,0.7348242811501597,0.8712121212121212
setfit,0.25,42,anger,0.3987730061349693,0.5078125,0.3282828282828283
setfit,0.25,42,annoyance,0.2975420439844761,0.25386313465783666,0.359375
setfit,0.25,42,approval,0.3486033519553073,0.2867647058823529,0.4444444444444444
setfit,0.25,42,caring,0.4050632911392405,0.47058823529411764,0.35555555555555557
setfit,0.25,42,confusion,0.3781818181818182,0.4262295081967213,0.33986928104575165
setfit,0.25,42,curiosity,0.5281899109792285,0.4564102564102564,0.6267605633802817
setfit,0.25,42,desire,0.45255474452554745,0.5740740740740741,0.37349397590361444
setfit,0.25,42,disappointment,0.29535864978902954,0.4069767441860465,0.23178807947019867
setfit,0.25,42,disapproval,0.3627287853577371,0.3263473053892216,0.40823970037453183
setfit,0.25,42,disgust,0.42487046632124353,0.5857142857142857,0.3333333333333333
setfit,0.25,42,embarrassment,0.43137254901960786,0.7857142857142857,0.2972972972972973
setfit,0.25,42,excitement,0.3695652173913043,0.41975308641975306,0.3300970873786408
setfit,0.25,42,fear,0.6370370370370371,0.7543859649122807,0.5512820512820513
setfit,0.25,42,gratitude,0.8995756718528995,0.895774647887324,0.9034090909090909
setfit,0.25,42,grief,0.0,0.0,0.0
setfit,0.25,42,joy,0.5476923076923077,0.5426829268292683,0.5527950310559007
setfit,0.25,42,love,0.7854251012145749,0.7578125,0.8151260504201681
setfit,0.25,42,nervousness,0.20689655172413793,0.5,0.13043478260869565
setfit,0.25,42,neutral,0.5796361315033515,0.674591381872214,0.5081141578063794
setfit,0.25,42,optimism,0.5071225071225072,0.5393939393939394,0.478494623655914
setfit,0.25,42,pride,0.0,0.0,0.0
setfit,0.25,42,realization,0.21621621621621623,0.3116883116883117,0.16551724137931034
setfit,0.25,42,relief,0.16666666666666666,1.0,0.09090909090909091
setfit,0.25,42,remorse,0.5636363636363636,0.5740740740740741,0.5535714285714286
