method,data_fraction,seed,emotion,f1,precision,recall
distilbert,0.25,21,neutral,0.6101910828025477,0.7080561714708056,0.536094012311136
distilbert,0.25,21,optimism,0.28444444444444444,0.8205128205128205,0.17204301075268819
distilbert,0.25,21,pride,0.0,0.0,0.0
distilbert,0.25,21,realization,0.0,0.0,0.0
distilbert,0.25,21,relief,0.0,0.0,0.0
distilbert,0.25,21,remorse,0.0,0.0,0.0
distilbert,0.25,21,sadness,0.0,0.0,0.0
distilbert,0.25,21,surprise,0.0,0.0,0.0
distilbert,0.5,21,admiration,0.6652763295099061,0.701098901098901,0.6329365079365079
distilbert,0.5,21,amusement,0.8082706766917294,0.8022388059701493,0.8143939393939394
distilbert,0.5,21,anger,0.4080267558528428,0.6039603960396039,0.30808080808080807
distilbert,0.5,21,annoyance,0.0364741641337386,0.6666666666666666,0.01875
distilbert,0.5,21,approval,0.33195020746887965,0.6106870229007634,0.22792022792022792
distilbert,0.5,21,caring,0.17834394904458598,0.6363636363636364,0.1037037037037037
distilbert,0.5,21,confusion,0.2185792349726776,0.6666666666666666,0.13071895424836602
distilbert,0.5,21,curiosity,0.46942800788954636,0.5336322869955157,0.41901408450704225
distilbert,0.5,21,desire,0.20833333333333334,0.7692307692307693,0.12048192771084337
distilbert,0.5,21,disappointment,0.013071895424836602,0.5,0.006622516556291391
distilbert,0.5,21,disapproval,0.23837209302325582,0.5324675324675324,0.15355805243445692
distilbert,0.5,21,disgust,0.13636363636363635,1.0,0.07317073170731707
distilbert,0.5,21,embarrassment,0.0,0.0,0.0
distilbert,0.5,21,excitement,0.0,0.0,0.0
distilbert,0.5,21,fear,0.4,0.9090909090909091,0.2564102564102564
distilbert,0.5,21,gratitude,0.9186046511627907,0.9404761904761905,0.8977272727272727
distilbert,0.5,21,grief,0.0,0.0,0.0
distilbert,0.5,21,joy,0.5267175572519084,0.6831683168316832,0.42857142857142855
distilbert,0.5,21,love,0.8118393234672304,0.8170212765957446,0.8067226890756303
