method,data_fraction,seed,emotion,precision,recall,f1,support,tp,fp,fn,tn
distilbert,0.5,7,confusion,0.5833333333333334,0.13725490196078433,0.2222222222222222,153,21,15,132,5259
distilbert,0.5,7,curiosity,0.5625,0.38028169014084506,0.453781512605042,284,108,84,176,5059
distilbert,0.5,7,desire,0.7777777777777778,0.1686746987951807,0.27722772277227725,83,14,4,69,5340
distilbert,0.5,7,disappointment,0.0,0.0,0.0,151,0,0,151,5276
distilbert,0.5,7,disapproval,0.532258064516129,0.12359550561797752,0.2006079027355623,267,33,29,234,5131
distilbert,0.5,7,disgust,0.0,0.0,0.0,123,0,0,123,5304
distilbert,0.5,7,embarrassment,0.0,0.0,0.0,37,0,0,37,5390
distilbert,0.5,7,excitement,1.0,0.038834951456310676,0.07476635514018691,103,4,0,99,5324
distilbert,0.5,7,fear,0.9230769230769231,0.15384615384615385,0.26373626373626374,78,12,1,66,5348
distilbert,0.5,7,gratitude,0.9486404833836858,0.8920454545454546,0.9194729136163983,352,314,17,38,5058
distilbert,0.5,7,grief,0.0,0.0,0.0,6,0,0,6,5421
distilbert,0.5,7,joy,0.6727272727272727,0.45962732919254656,0.5461254612546126,161,74,36,87,5230
distilbert,0.5,7,love,0.8275862068965517,0.8067226890756303,0.8170212765957446,238,192,40,46,5149
distilbert,0.5,7,nervousness,0.0,0.0,0.0,23,0,0,23,5404
distilbert,0.5,7,neutral,0.7155234657039711,0.5545607162842753,0.6248423707440101,1787,991,394,796,3246
distilbert,0.5,7,optimism,0.7142857142857143,0.4032258064516129,0.5154639175257731,186,75,30,111,5211
distilbert,0.5,7,pride,0.0,0.0,0.0,16,0,0,16,5411
distilbert,0.5,7,realization,0.0,0.0,0.0,145,0,0,145,5282
distilbert,0.5,7,relief,0.0,0.0,0.0,11,0,0,11,5416
distilbert,0.5,7,remorse,0.6382978723404256,0.5357142857142857,0.5825242718446602,56,30,17,26,5354
distilbert,0.5,7,sadness,0.7916666666666666,0.36538461538461536,0.5,156,57,15,99,5256
distilbert,0.5,7,surprise,0.6507936507936508,0.2907801418439716,0.4019607843137255,141,41,22,100,5264
distilbert,1.0,7,admiration,0.7049180327868853,0.6825396825396826,0.6935483870967742,504,344,144,160,4779
distilbert,1.0,7,amusement,0.8,0.8636363636363636,0.8306010928961749,264,228,57,36,5106
distilbert,1.0,7,anger,0.6260869565217392,0.36363636363636365,0.46006389776357826,198,72,43,126,5186
distilbert,1.0,7,annoyance,0.5342465753424658,0.121875,0.1984732824427481,320,39,34,281,5073
distilbert,1.0,7,approval,0.56875,0.25925925925925924,0.3561643835616438,351,91,69,260,5007
distilbert,1.0,7,caring,0.5901639344262295,0.26666666666666666,0.3673469387755102,135,36,25,99,5267
distilbert,1.0,7,confusion,0.5949367088607594,0.30718954248366015,0.4051724137931034,153,47,32,106,5242
distilbert,1.0,7,curiosity,0.56,0.39436619718309857,0.4628099173553719,284,112,88,172,5055
distilbert,1.0,7,desire,0.7142857142857143,0.30120481927710846,0.423728813559322,83,25,10,58,5334
distilbert,1.0,7,disappointment,0.7142857142857143,0.06622516556291391,0.12121212121212122,151,10,4,141,5272
distilbert,1.0,7,disapproval,0.5166666666666667,0.23220973782771537,0.32041343669250644,267,62,58,205,5102
distilbert,1.0,7,disgust,0.7358490566037735,0.3170731707317073,0.4431818181818182,123,39,14,84,5290
distilbert,1.0,7,embarrassment,0.6,0.08108108108108109,0.14285714285714285,37,3,2,34,5388
distilbert,1.0,7,excitement,0.8,0.23300970873786409,0.3609022556390977,103,24,6,79,5318
distilbert,1.0,7,fear,0.6901408450704225,0.6282051282051282,0.6577181208053692,78,49,22,29,5327
distilbert,1.0,7,gratitude,0.9459459459459459,0.8948863636363636,0.9197080291970803,352,315,18,37,5057
distilbert,1.0,7,grief,0.0,0.0,0.0,6,0,0,6,5421
distilbert,1.0,7,joy,0.7024793388429752,0.5279503105590062,0.6028368794326241,161,85,36,76,5230
distilbert,1.0,7,love,0.8185654008438819,0.8151260504201681,0.8168421052631579,238,194,43,44,5146
distilbert,1.0,7,nervousness,0.0,0.0,0.0,23,0,0,23,5404
distilbert,1.0,7,neutral,0.7075983717774763,0.5836597649692221,0.6396810794234897,1787,1043,431,744,3209
distilbert,1.0,7,optimism,0.7217391304347827,0.44623655913978494,0.5514950166112956,186,83,32,103,5209
distilbert,1.0,7,pride,0.0,0.0,0.0,16,0,0,16,5411
distilbert,1.0,7,realization,0.7,0.09655172413793103,0.1696969696969697,145,14,6,131,5276
distilbert,1.0,7,relief,0.0,0.0,0.0,11,0,0,11,5416
distilbert,1.0,7,remorse,0.625,0.625,0.625,56,35,21,21,5350
distilbert,1.0,7,sadness,0.7216494845360825,0.44871794871794873,0.5533596837944664,156,70,27,86,5244
distilbert,1.0,7,surprise,0.6060606060606061,0.425531914893617,0.5,141,60,39,81,5247
distilbert,0.01,21,admiration,0.0,0.0,0.0,504,0,0,504,4923
distilbert,0.01,21,amusement,0.0,0.0,0.0,264,0,0,264,5163
distilbert,0.01,21,anger,0.0,0.0,0.0,198,0,0,198,5229
distilbert,0.01,21,annoyance,0.0,0.0,0.0,320,0,0,320,5107
distilbert,0.01,21,approval,0.0,0.0,0.0,351,0,0,351,5076
distilbert,0.01,21,caring,0.0,0.0,0.0,135,0,0,135,5292
distilbert,0.01,21,confusion,0.0,0.0,0.0,153,0,0,153,5274
distilbert,0.01,21,curiosity,0.0,0.0,0.0,284,0,0,284,5143
distilbert,0.01,21,desire,0.0,0.0,0.0,83,0,0,83,5344
distilbert,0.01,21,disappointment,0.0,0.0,0.0,151,0,0,151,5276
distilbert,0.01,21,disapproval,0.0,0.0,0.0,267,0,0,267,5160
distilbert,0.01,21,disgust,0.0,0.0,0.0,123,0,0,123,5304
distilbert,0.01,21,embarrassment,0.0,0.0,0.0,37,0,0,37,5390
distilbert,0.01,21,excitement,0.0,0.0,0.0,103,0,0,103,5324
distilbert,0.01,21,fear,0.0,0.0,0.0,78,0,0,78,5349
distilbert,0.01,21,gratitude,0.0,0.0,0.0,352,0,0,352,5075
distilbert,0.01,21,grief,0.0,0.0,0.0,6,0,0,6,5421
distilbert,0.01,21,joy,0.0,0.0,0.0,161,0,0,161,5266
distilbert,0.01,21,love,0.0,0.0,0.0,238,0,0,238,5189
distilbert,0.01,21,nervousness,0.0,0.0,0.0,23,0,0,23,5404
distilbert,0.01,21,neutral,0.0,0.0,0.0,1787,0,0,1787,3640
distilbert,0.01,21,optimism,0.0,0.0,0.0,186,0,0,186,5241
distilbert,0.01,21,pride,0.0,0.0,0.0,16,0,0,16,5411
distilbert,0.01,21,realization,0.0,0.0,0.0,145,0,0,145,5282
distilbert,0.01,21,relief,0.0,0.0,0.0,11,0,0,11,5416
distilbert,0.01,21,remorse,0.0,0.0,0.0,56,0,0,56,5371
distilbert,0.01,21,sadness,0.0,0.0,0.0,156,0,0,156,5271
distilbert,0.01,21,surprise,0.0,0.0,0.0,141,0,0,141,5286
distilbert,0.05,21,admiration,0.0,0.0,0.0,504,0,0,504,4923
distilbert,0.05,21,amusement,0.0,0.0,0.0,264,0,0,264,5163
distilbert,0.05,21,anger,0.0,0.0,0.0,198,0,0,198,5229
distilbert,0.05,21,annoyance,0.0,0.0,0.0,320,0,0,320,5107
distilbert,0.05,21,approval,0.0,0.0,0.0,351,0,0,351,5076
distilbert,0.05,21,caring,0.0,0.0,0.0,135,0,0,135,5292
distilbert,0.05,21,confusion,0.0,0.0,0.0,153,0,0,153,5274
distilbert,0.05,21,curiosity,0.0,0.0,0.0,284,0,0,284,5143
distilbert,0.05,21,desire,0.0,0.0,0.0,83,0,0,83,5344
distilbert,0.05,21,disappointment,0.0,0.0,0.0,151,0,0,151,5276
distilbert,0.05,21,disapproval,0.0,0.0,0.0,267,0,0,267,5160
distilbert,0.05,21,disgust,0.0,0.0,0.0,123,0,0,123,5304
distilbert,0.05,21,embarrassment,0.0,0.0,0.0,37,0,0,37,5390
distilbert,0.05,21,excitement,0.0,0.0,0.0,103,0,0,103,5324
distilbert,0.05,21,fear,0.0,0.0,0.0,78,0,0,78,5349
distilbert,0.05,21,gratitude,0.0,0.0,0.0,352,0,0,352,5075
distilbert,0.05,21,grief,0.0,0.0,0.0,6,0,0,6,5421
distilbert,0.05,21,joy,0.0,0.0,0.0,161,0,0,161,5266
distilbert,0.05,21,love,0.0,0.0,0.0,238,0,0,238,5189
distilbert,0.05,21,nervousness,0.0,0.0,0.0,23,0,0,23,5404
distilbert,0.05,21,neutral,0.0,0.0,0.0,1787,0,0,1787,3640
distilbert,0.05,21,optimism,0.0,0.0,0.0,186,0,0,186,5241
distilbert,0.05,21,pride,0.0,0.0,0.0,16,0,0,16,5411
distilbert,0.05,21,realization,0.0,0.0,0.0,145,0,0,145,5282
distilbert,0.05,21,relief,0.0,0.0,0.0,11,0,0,11,5416
distilbert,0.05,21,remorse,0.0,0.0,0.0,56,0,0,56,5371
distilbert,0.05,21,sadness,0.0,0.0,0.0,156,0,0,156,5271
distilbert,0.05,21,surprise,0.0,0.0,0.0,141,0,0,141,5286
distilbert,0.1,21,admiration,0.0,0.0,0.0,504,0,0,504,4923
distilbert,0.1,21,amusement,0.0,0.0,0.0,264,0,0,264,5163
distilbert,0.1,21,anger,0.0,0.0,0.0,198,0,0,198,5229
distilbert,0.1,21,annoyance,0.0,0.0,0.0,320,0,0,320,5107
distilbert,0.1,21,approval,0.0,0.0,0.0,351,0,0,351,5076
distilbert,0.1,21,caring,0.0,0.0,0.0,135,0,0,135,5292
distilbert,0.1,21,confusion,0.0,0.0,0.0,153,0,0,153,5274
distilbert,0.1,21,curiosity,0.0,0.0,0.0,284,0,0,284,5143
distilbert,0.1,21,desire,0.0,0.0,0.0,83,0,0,83,5344
distilbert,0.1,21,disappointment,0.0,0.0,0.0,151,0,0,151,5276
distilbert,0.1,21,disapproval,0.0,0.0,0.0,267,0,0,267,5160
distilbert,0.1,21,disgust,0.0,0.0,0.0,123,0,0,123,5304
distilbert,0.1,21,embarrassment,0.0,0.0,0.0,37,0,0,37,5390
distilbert,0.1,21,excitement,0.0,0.0,0.0,103,0,0,103,5324
distilbert,0.1,21,fear,0.0,0.0,0.0,78,0,0,78,5349
distilbert,0.1,21,gratitude,0.0,0.0,0.0,352,0,0,352,5075
distilbert,0.1,21,grief,0.0,0.0,0.0,6,0,0,6,5421
distilbert,0.1,21,joy,0.0,0.0,0.0,161,0,0,161,5266
distilbert,0.1,21,love,0.0,0.0,0.0,238,0,0,238,5189
distilbert,0.1,21,nervousness,0.0,0.0,0.0,23,0,0,23,5404
distilbert,0.1,21,neutral,0.63046875,0.4515948517067711,0.5262471470492338,1787,807,473,980,3167
distilbert,0.1,21,optimism,0.0,0.0,0.0,186,0,0,186,5241
distilbert,0.1,21,pride,0.0,0.0,0.0,16,0,0,16,5411
distilbert,0.1,21,realization,0.0,0.0,0.0,145,0,0,145,5282
distilbert,0.1,21,relief,0.0,0.0,0.0,11,0,0,11,5416
distilbert,0.1,21,remorse,0.0,0.0,0.0,56,0,0,56,5371
distilbert,0.1,21,sadness,0.0,0.0,0.0,156,0,0,156,5271
distilbert,0.1,21,surprise,0.0,0.0,0.0,141,0,0,141,5286
distilbert,0.25,21,admiration,0.6997635933806147,0.5873015873015873,0.6386192017259978,504,296,127,208,4796
distilbert,0.25,21,amusement,0.8170212765957446,0.7272727272727273,0.7695390781563126,264,192,43,72,5120
distilbert,0.25,21,anger,0.0,0.0,0.0,198,0,0,198,5229
distilbert,0.25,21,annoyance,0.0,0.0,0.0,320,0,0,320,5107
distilbert,0.25,21,approval,0.0,0.0,0.0,351,0,0,351,5076
distilbert,0.25,21,caring,0.0,0.0,0.0,135,0,0,135,5292
distilbert,0.25,21,confusion,0.0,0.0,0.0,153,0,0,153,5274
distilbert,0.25,21,curiosity,0.6056338028169014,0.15140845070422534,0.24225352112676057,284,43,28,241,5115
distilbert,0.25,21,desire,0.0,0.0,0.0,83,0,0,83,5344
distilbert,0.25,21,disappointment,0.0,0.0,0.0,151,0,0,151,5276
distilbert,0.25,21,disapproval,0.0,0.0,0.0,267,0,0,267,5160
distilbert,0.25,21,disgust,0.0,0.0,0.0,123,0,0,123,5304
distilbert,0.25,21,embarrassment,0.0,0.0,0.0,37,0,0,37,5390
distilbert,0.25,21,excitement,0.0,0.0,0.0,103,0,0,103,5324
distilbert,0.25,21,fear,0.0,0.0,0.0,78,0,0,78,5349
distilbert,0.25,21,gratitude,0.9625,0.875,0.9166666666666666,352,308,12,44,5063
distilbert,0.25,21,grief,0.0,0.0,0.0,6,0,0,6,5421
distilbert,0.25,21,joy,0.9090909090909091,0.062111801242236024,0.11627906976744186,161,10,1,151,5265
distilbert,0.25,21,love,0.8080357142857143,0.7605042016806722,0.7835497835497836,238,181,43,57,5146
distilbert,0.25,21,nervousness,0.0,0.0,0.0,23,0,0,23,5404
distilbert,0.25,21,neutral,0.7080561714708056,0.536094012311136,0.6101910828025477,1787,958,395,829,3245
distilbert,0.25,21,optimism,0.8205128205128205,0.17204301075268819,0.28444444444444444,186,32,7,154,5234
distilbert,0.25,21,pride,0.0,0.0,0.0,16,0,0,16,5411
distilbert,0.25,21,realization,0.0,0.0,0.0,145,0,0,145,5282
distilbert,0.25,21,relief,0.0,0.0,0.0,11,0,0,11,5416
distilbert,0.25,21,remorse,0.0,0.0,0.0,56,0,0,56,5371
distilbert,0.25,21,sadness,0.0,0.0,0.0,156,0,0,156,5271
distilbert,0.25,21,surprise,0.0,0.0,0.0,141,0,0,141,5286
distilbert,0.5,21,admiration,0.701098901098901,0.6329365079365079,0.6652763295099061,504,319,136,185,4787
distilbert,0.5,21,amusement,0.8022388059701493,0.8143939393939394,0.8082706766917294,264,215,53,49,5110
distilbert,0.5,21,anger,0.6039603960396039,0.30808080808080807,0.4080267558528428,198,61,40,137,5189
distilbert,0.5,21,annoyance,0.6666666666666666,0.01875,0.0364741641337386,320,6,3,314,5104
distilbert,0.5,21,approval,0.6106870229007634,0.22792022792022792,0.33195020746887965,351,80,51,271,5025
distilbert,0.5,21,caring,0.6363636363636364,0.1037037037037037,0.17834394904458598,135,14,8,121,5284
distilbert,0.5,21,confusion,0.6666666666666666,0.13071895424836602,0.2185792349726776,153,20,10,133,5264
distilbert,0.5,21,curiosity,0.5336322869955157,0.41901408450704225,0.46942800788954636,284,119,104,165,5039
distilbert,0.5,21,desire,0.7692307692307693,0.12048192771084337,0.20833333333333334,83,10,3,73,5341
distilbert,0.5,21,disappointment,0.5,0.006622516556291391,0.013071895424836602,151,1,1,150,5275
distilbert,0.5,21,disapproval,0.5324675324675324,0.15355805243445692,0.23837209302325582,267,41,36,226,5124
distilbert,0.5,21,disgust,1.0,0.07317073170731707,0.13636363636363635,123,9,0,114,5304
distilbert,0.5,21,embarrassment,0.0,0.0,0.0,37,0,0,37,5390
distilbert,0.5,21,excitement,0.0,0.0,0.0,103,0,0,103,5324
distilbert,0.5,21,fear,0.9090909090909091,0.2564102564102564,0.4,78,20,2,58,5347
distilbert,0.5,21,gratitude,0.9404761904761905,0.8977272727272727,0.9186046511627907,352,316,20,36,5055
distilbert,0.5,21,grief,0.0,0.0,0.0,6,0,0,6,5421
distilbert,0.5,21,joy,0.6831683168316832,0.42857142857142855,0.5267175572519084,161,69,32,92,5234
distilbert,0.5,21,love,0.8170212765957446,0.8067226890756303,0.8118393234672304,238,192,43,46,5146
distilbert,0.5,21,nervousness,0.0,0.0,0.0,23,0,0,23,5404
distilbert,0.5,21,neutral,0.7141843971631205,0.5635142697257974,0.6299655927431967,1787,1007,403,780,3237
distilbert,0.5,21,optimism,0.7333333333333333,0.41397849462365593,0.5292096219931272,186,77,28,109,5213
distilbert,0.5,21,pride,0.0,0.0,0.0,16,0,0,16,5411
distilbert,0.5,21,realization,0.0,0.0,0.0,145,0,0,145,5282
distilbert,0.5,21,relief,0.0,0.0,0.0,11,0,0,11,5416
distilbert,0.5,21,remorse,0.6470588235294118,0.5892857142857143,0.616822429906542,56,33,18,23,5353
distilbert,0.5,21,sadness,0.8,0.3333333333333333,0.47058823529411764,156,52,13,104,5258
distilbert,0.5,21,surprise,0.6666666666666666,0.28368794326241137,0.39800995024875624,141,40,20,101,5266
distilbert,1.0,21,admiration,0.7034764826175869,0.6825396825396826,0.6928499496475328,504,344,145,160,4778
distilbert,1.0,21,amusement,0.8042704626334519,0.8560606060606061,0.8293577981651377,264,226,55,38,5108
distilbert,1.0,21,anger,0.6124031007751938,0.398989898989899,0.4831804281345566,198,79,50,119,5179
distilbert,1.0,21,annoyance,0.5692307692307692,0.115625,0.19220779220779222,320,37,28,283,5079
distilbert,1.0,21,approval,0.5838926174496645,0.24786324786324787,0.348,351,87,62,264,5014
distilbert,1.0,21,caring,0.6444444444444445,0.21481481481481482,0.32222222222222224,135,29,16,106,5276
distilbert,1.0,21,confusion,0.5875,0.30718954248366015,0.4034334763948498,153,47,33,106,5241
distilbert,1.0,21,curiosity,0.5428571428571428,0.4014084507042254,0.46153846153846156,284,114,96,170,5047
distilbert,1.0,21,desire,0.7419354838709677,0.27710843373493976,0.40350877192982454,83,23,8,60,5336
distilbert,1.0,21,disappointment,0.7777777777777778,0.09271523178807947,0.16568047337278108,151,14,4,137,5272
distilbert,1.0,21,disapproval,0.47297297297297297,0.26217228464419473,0.3373493975903614,267,70,78,197,5082
distilbert,1.0,21,disgust,0.7755102040816326,0.3089430894308943,0.4418604651162791,123,38,11,85,5293
distilbert,1.0,21,embarrassment,0.6666666666666666,0.10810810810810811,0.18604651162790697,37,4,2,33,5388
distilbert,1.0,21,excitement,0.75,0.23300970873786409,0.35555555555555557,103,24,8,79,5316
distilbert,1.0,21,fear,0.7313432835820896,0.6282051282051282,0.6758620689655173,78,49,18,29,5331
distilbert,1.0,21,gratitude,0.9461077844311377,0.8977272727272727,0.9212827988338192,352,316,18,36,5057
distilbert,1.0,21,grief,0.0,0.0,0.0,6,0,0,6,5421
distilbert,1.0,21,joy,0.7203389830508474,0.5279503105590062,0.6093189964157706,161,85,33,76,5233
distilbert,1.0,21,love,0.8148148148148148,0.8319327731092437,0.8232848232848233,238,198,45,40,5144
distilbert,1.0,21,nervousness,0.0,0.0,0.0,23,0,0,23,5404
distilbert,1.0,21,neutral,0.7129186602870813,0.5836597649692221,0.6418461538461538,1787,1043,420,744,3220
