method,data_fraction,seed,emotion,precision,recall,f1,support,tp,fp,fn,tn
setfit,0.5,7,neutral,0.6879875195007801,0.493564633463906,0.5747800586510264,1787,882,400,905,3240
setfit,0.5,7,optimism,0.6097560975609756,0.5376344086021505,0.5714285714285714,186,100,64,86,5177
setfit,0.5,7,pride,1.0,0.0625,0.1176470588235294,16,1,0,15,5411
setfit,0.5,7,realization,0.2019230769230769,0.1448275862068965,0.1686746987951807,145,21,83,124,5199
setfit,0.5,7,relief,0.3333333333333333,0.0909090909090909,0.1428571428571428,11,1,2,10,5414
setfit,0.5,7,remorse,0.64,0.5714285714285714,0.6037735849056604,56,32,18,24,5353
setfit,0.5,7,sadness,0.5932203389830508,0.4487179487179487,0.5109489051094891,156,70,48,86,5223
setfit,0.5,7,surprise,0.5298507462686567,0.5035460992907801,0.5163636363636364,141,71,63,70,5223
setfit,1.0,7,admiration,0.6797752808988764,0.7202380952380952,0.6994219653179191,504,363,171,141,4752
setfit,1.0,7,amusement,0.7643097643097643,0.8598484848484849,0.8092691622103387,264,227,70,37,5093
setfit,1.0,7,anger,0.5545454545454546,0.30808080808080807,0.3961038961038961,198,61,49,137,5180
setfit,1.0,7,annoyance,0.3233695652173913,0.371875,0.34593023255813954,320,119,249,201,4858
setfit,1.0,7,approval,0.316,0.45014245014245013,0.37132784958871917,351,158,342,193,4734
setfit,1.0,7,caring,0.49056603773584906,0.3851851851851852,0.4315352697095436,135,52,54,83,5238
setfit,1.0,7,confusion,0.379746835443038,0.39215686274509803,0.3858520900321543,153,60,98,93,5176
setfit,1.0,7,curiosity,0.4642857142857143,0.5492957746478874,0.5032258064516129,284,156,180,128,4963
setfit,1.0,7,desire,0.5192307692307693,0.3253012048192771,0.4,83,27,25,56,5319
setfit,1.0,7,disappointment,0.3424657534246575,0.16556291390728478,0.22321428571428573,151,25,48,126,5228
setfit,1.0,7,disapproval,0.34472934472934474,0.45318352059925093,0.39158576051779936,267,121,230,146,4930
setfit,1.0,7,disgust,0.6461538461538462,0.34146341463414637,0.44680851063829785,123,42,23,81,5281
setfit,1.0,7,embarrassment,0.6666666666666666,0.2702702702702703,0.38461538461538464,37,10,5,27,5385
setfit,1.0,7,excitement,0.4155844155844156,0.3106796116504854,0.35555555555555557,103,32,45,71,5279
setfit,1.0,7,fear,0.6582278481012658,0.6666666666666666,0.6624203821656051,78,52,27,26,5322
setfit,1.0,7,gratitude,0.9036827195467422,0.90625,0.9049645390070922,352,319,34,33,5041
setfit,1.0,7,grief,0.0,0.0,0.0,6,0,0,6,5421
setfit,1.0,7,joy,0.6341463414634146,0.6459627329192547,0.64,161,104,60,57,5206
setfit,1.0,7,love,0.7396226415094339,0.8235294117647058,0.7793240556660039,238,196,69,42,5120
setfit,1.0,7,nervousness,0.5,0.17391304347826086,0.25806451612903225,23,4,4,19,5400
setfit,1.0,7,neutral,0.6859259259259259,0.5181869054280918,0.590372967803634,1787,926,424,861,3216
setfit,1.0,7,optimism,0.550561797752809,0.5268817204301075,0.5384615384615384,186,98,80,88,5161
setfit,1.0,7,pride,0.0,0.0,0.0,16,0,0,16,5411
setfit,1.0,7,realization,0.3,0.16551724137931034,0.21333333333333335,145,24,56,121,5226
setfit,1.0,7,relief,0.0,0.0,0.0,11,0,1,11,5415
setfit,1.0,7,remorse,0.5686274509803921,0.5178571428571429,0.5420560747663551,56,29,22,27,5349
setfit,1.0,7,sadness,0.5422535211267606,0.4935897435897436,0.5167785234899329,156,77,65,79,5206
setfit,1.0,7,surprise,0.5538461538461539,0.5106382978723404,0.5313653136531366,141,72,58,69,5228
setfit,0.01,21,admiration,0.673469387755102,0.5238095238095238,0.5892857142857143,504,264,128,240,4795
setfit,0.01,21,amusement,0.7923076923076923,0.7803030303030303,0.7862595419847328,264,206,54,58,5109
setfit,0.01,21,anger,0.7,0.0707070707070707,0.12844036697247707,198,14,6,184,5223
setfit,0.01,21,annoyance,0.3503184713375796,0.171875,0.23060796645702306,320,55,102,265,5005
setfit,0.01,21,approval,0.29120879120879123,0.452991452991453,0.35451505016722407,351,159,387,192,4689
setfit,0.01,21,caring,0.2631578947368421,0.037037037037037035,0.06493506493506493,135,5,14,130,5278
setfit,0.01,21,confusion,0.32432432432432434,0.0784313725490196,0.12631578947368421,153,12,25,141,5249
setfit,0.01,21,curiosity,0.3452685421994885,0.4753521126760563,0.4,284,135,256,149,4887
setfit,0.01,21,desire,0.6,0.07228915662650602,0.12903225806451613,83,6,4,77,5340
setfit,0.01,21,disappointment,0.1,0.006622516556291391,0.012422360248447204,151,1,9,150,5267
setfit,0.01,21,disapproval,0.2918287937743191,0.2808988764044944,0.2862595419847328,267,75,182,192,4978
setfit,0.01,21,disgust,0.7,0.17073170731707318,0.27450980392156865,123,21,9,102,5295
setfit,0.01,21,embarrassment,0.0,0.0,0.0,37,0,0,37,5390
setfit,0.01,21,excitement,0.6,0.08737864077669903,0.15254237288135594,103,9,6,94,5318
setfit,0.01,21,fear,0.0,0.0,0.0,78,0,0,78,5349
setfit,0.01,21,gratitude,0.8918128654970761,0.8664772727272727,0.8789625360230547,352,305,37,47,5038
setfit,0.01,21,grief,0.0,0.0,0.0,6,0,0,6,5421
setfit,0.01,21,joy,0.6483516483516484,0.36645962732919257,0.46825396825396826,161,59,32,102,5234
setfit,0.01,21,love,0.7458333333333333,0.7521008403361344,0.7489539748953975,238,179,61,59,5128
